2026-05-26 15:50:35.094 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=29 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:35.784 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=30 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:36.413 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=1 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:37.173 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=31 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:37.218 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=2 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:37.983 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=32 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:38.031 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=3 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:39.315 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=4 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:39.830 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=33 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:40.360 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=5 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:41.086 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=6 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:41.346 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=34 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:41.852 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=7 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:42.126 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=35 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:42.641 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=9 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:43.337 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=10 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:43.798 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=36 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:44.198 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=11 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:44.796 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=37 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:44.982 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=12 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:45.790 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=38 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:45.848 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=13 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:46.525 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=39 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:46.634 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=14 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:47.286 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=40 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:48.285 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=41 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:48.421 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=15 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:49.213 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=42 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:50.167 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=43 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:50.472 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=16 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:50.897 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=44 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:51.249 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=17 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:52.177 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=45 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:52.227 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=18 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:53.030 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=46 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:53.093 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=19 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:53.833 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=47 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:53.884 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=20 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:56.075 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=21 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:56.178 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=48 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:57.016 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=49 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:57.986 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=50 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:58.045 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=22 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:58.768 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=51 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:59.122 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=23 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:59.532 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=53 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:00.299 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=54 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:00.664 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=24 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:01.237 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=55 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:01.354 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=25 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:02.000 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=56 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:03.178 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=26 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:03.474 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=57 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:03.965 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=27 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:04.460 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=61 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:04.774 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=28 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:05.268 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=62 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:51:05.674 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=1 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

