2026-04-30 23:56:36.748 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:56:36.748 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:56:36.749 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:56:36.749 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:56:36.758 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:56:36.843 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:56:36.843 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:56:36.844 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:56:39.327 | INFO     | app.main:lifespan:107 | ============================================================
2026-04-30 23:56:39.328 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:56:39.329 | INFO     | app.main:lifespan:109 | ============================================================
2026-04-30 23:56:39.334 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:56:39.334 | INFO     | app.main:lifespan:112 | ============================================================
2026-04-30 23:56:44.000 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:56:44.001 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:56:44.001 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:56:44.002 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:56:44.014 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:56:44.106 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:56:44.106 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:56:44.107 | INFO     | app.main:lifespan:105 | ============================================================
2026-05-01 00:01:23.150 | INFO     | app.main:lifespan:107 | ============================================================
2026-05-01 00:01:23.150 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-05-01 00:01:23.151 | INFO     | app.main:lifespan:109 | ============================================================
2026-05-01 00:01:23.163 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-05-01 00:01:23.177 | INFO     | app.main:lifespan:112 | ============================================================
2026-05-01 00:14:17.204 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-05-01 00:14:17.204 | INFO     | app.main:lifespan:83 | ============================================================
2026-05-01 00:14:17.205 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-05-01 00:14:17.205 | INFO     | app.main:lifespan:85 | ============================================================
2026-05-01 00:14:17.216 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-05-01 00:14:17.286 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-05-01 00:14:17.286 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-05-01 00:14:17.286 | INFO     | app.main:lifespan:105 | ============================================================
2026-05-01 00:25:26.043 | INFO     | app.main:lifespan:107 | ============================================================
2026-05-01 00:25:26.044 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-05-01 00:25:26.045 | INFO     | app.main:lifespan:109 | ============================================================
2026-05-01 00:25:26.051 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-05-01 00:25:26.052 | INFO     | app.main:lifespan:112 | ============================================================
2026-05-01 00:25:30.893 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-05-01 00:25:30.893 | INFO     | app.main:lifespan:83 | ============================================================
2026-05-01 00:25:30.893 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-05-01 00:25:30.894 | INFO     | app.main:lifespan:85 | ============================================================
2026-05-01 00:25:30.905 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-05-01 00:25:30.981 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-05-01 00:25:30.982 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-05-01 00:25:30.982 | INFO     | app.main:lifespan:105 | ============================================================
2026-05-01 00:25:40.694 | INFO     | app.main:lifespan:107 | ============================================================
2026-05-01 00:25:40.694 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-05-01 00:25:40.695 | INFO     | app.main:lifespan:109 | ============================================================
2026-05-01 00:25:40.698 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-05-01 00:25:40.699 | INFO     | app.main:lifespan:112 | ============================================================
2026-05-01 00:25:44.779 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-05-01 00:25:44.780 | INFO     | app.main:lifespan:83 | ============================================================
2026-05-01 00:25:44.780 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-05-01 00:25:44.780 | INFO     | app.main:lifespan:85 | ============================================================
2026-05-01 00:25:44.788 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-05-01 00:25:44.853 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-05-01 00:25:44.854 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-05-01 00:25:44.854 | INFO     | app.main:lifespan:105 | ============================================================
2026-05-01 00:26:50.571 | INFO     | app.main:lifespan:107 | ============================================================
2026-05-01 00:26:50.571 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-05-01 00:26:50.572 | INFO     | app.main:lifespan:109 | ============================================================
2026-05-01 00:26:50.575 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-05-01 00:26:50.576 | INFO     | app.main:lifespan:112 | ============================================================
2026-05-01 00:26:56.141 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-05-01 00:26:56.141 | INFO     | app.main:lifespan:83 | ============================================================
